INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
18,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,62,https://172.17.90.8:8000/image,855

18,QUIC,https://52.15.197.199:8001,/,203,/image,203

18,QUIC,https://172.17.90.8:8001,/,15,/image,1173

19,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,781,https://52.15.197.199:8000/image,1225

19,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,30,https://172.17.90.8:8000/image,820

19,QUIC,https://52.15.197.199:8001,/,205,/image,206

19,QUIC,https://172.17.90.8:8001,/,15,/image,1099

20,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,781,https://52.15.197.199:8000/image,1220

20,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,51,https://172.17.90.8:8000/image,839

20,QUIC,https://52.15.197.199:8001,/,205,/image,203

20,QUIC,https://172.17.90.8:8001,/,31,/image,843

21,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,774,https://52.15.197.199:8000/image,1212

21,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,799

21,QUIC,https://52.15.197.199:8001,/,187,/image,203

21,QUIC,https://172.17.90.8:8001,/,15,/image,1171

22,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,813,https://52.15.197.199:8000/image,1245

22,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,797

22,QUIC,https://52.15.197.199:8001,/,187,/image,187

22,QUIC,https://172.17.90.8:8001,/,15,/image,1127

23,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,816,https://52.15.197.199:8000/image,1257

23,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,108,https://172.17.90.8:8000/image,899

23,QUIC,https://52.15.197.199:8001,/,193,/image,203

23,QUIC,https://172.17.90.8:8001,/,15,/image,1056

24,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,778,https://52.15.197.199:8000/image,1197

24,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,93,https://172.17.90.8:8000/image,894

