INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
20,QUIC,https://172.17.90.8:9001,/,4,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
21,HTTP2,https://52.15.197.199:9000,/,759,/image,46877
21,HTTP2,https://172.17.90.8:9000,/,101,/image,896
21,QUIC,https://52.15.197.199:9001,/,374,/image,47632
21,QUIC,https://172.17.90.8:9001,/,4,/image,992
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
22,HTTP2,https://52.15.197.199:9000,/,1114,/image,50122
22,HTTP2,https://172.17.90.8:9000,/,11,/image,788
22,QUIC,https://52.15.197.199:9001,/,374,/image,61320
22,QUIC,https://172.17.90.8:9001,/,4,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
23,HTTP2,https://52.15.197.199:9000,/,775,/image,44712
23,HTTP2,https://172.17.90.8:9000,/,30,/image,814
23,QUIC,https://52.15.197.199:9001,/,373,/image,43817
23,QUIC,https://172.17.90.8:9001,/,4,/image,1004
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
24,HTTP2,https://52.15.197.199:9000,/,748,/image,37805
24,HTTP2,https://172.17.90.8:9000,/,33,/image,826
24,QUIC,https://52.15.197.199:9001,/,373,/image,56904
24,QUIC,https://172.17.90.8:9001,/,25,/image,1051
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
25,HTTP2,https://52.15.197.199:9000,/,743,/image,40271
25,HTTP2,https://172.17.90.8:9000,/,12,/image,788
25,QUIC,https://52.15.197.199:9001,/,375,/image,53523
25,QUIC,https://172.17.90.8:9001,/,4,/image,910
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
26,HTTP2,https://52.15.197.199:9000,/,740,/image,46702
26,HTTP2,https://172.17.90.8:9000,/,12,/image,790
26,QUIC,https://52.15.197.199:9001,/,381,/image,62350
26,QUIC,https://172.17.90.8:9001,/,4,/image,911
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
27,HTTP2,https://52.15.197.199:9000,/,756,/image,44566
27,HTTP2,https://172.17.90.8:9000,/,98,/image,902
27,QUIC,https://52.15.197.199:9001,/,372,/image,62711
27,QUIC,https://172.17.90.8:9001,/,4,/image,914
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
28,HTTP2,https://52.15.197.199:9000,/,731,/image,38767
28,HTTP2,https://172.17.90.8:9000,/,10,/image,788
28,QUIC,https://52.15.197.199:9001,/,373,/image,70378
28,QUIC,https://172.17.90.8:9001,/,4,/image,986
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
